Beginning PiCam stream...
(94, 91)
(94, 91)
(94, 91)
(94, 91)
(94, 91)
(94, 96)
(94, 96)
(96, 104)
(97, 110)
(100, 121)
(102, 126)
(105, 128)
(105, 128)
(111, 135)
(118, 139)
(128, 144)
(137, 147)
(147, 150)
(156, 154)
(156, 154)
(164, 156)
(174, 159)
(182, 164)
(182, 164)
(192, 168)
(200, 168)
(206, 169)
(206, 169)
(210, 170)
(217, 171)
(223, 176)
(223, 176)
(228, 178)
(233, 178)
(237, 178)
(237, 178)
(241, 184)
(246, 185)
(249, 187)
(249, 187)
(253, 190)
(257, 189)
(260, 189)
(260, 189)
(263, 190)
(267, 192)
(271, 193)
(271, 193)
(274, 195)
(277, 194)
(277, 194)
(280, 199)
(280, 199)
(284, 199)
(284, 199)
(289, 199)
(289, 199)
(292, 198)
(292, 198)
(296, 198)
(300, 198)
(300, 198)
(305, 203)
(305, 203)
(308, 203)
(310, 203)
(310, 203)
(314, 202)
(314, 202)
(314, 202)
(317, 203)
(321, 204)
(321, 204)
(325, 211)
(328, 212)
(328, 212)
(331, 214)
(331, 214)
(331, 214)
(332, 216)
(334, 218)
(334, 218)
(335, 220)
(335, 220)
(337, 222)
(338, 228)
(338, 228)
(339, 230)
(340, 232)
(340, 232)
(340, 233)
(340, 235)
(339, 236)
(339, 236)
(338, 237)
(337, 237)
(336, 237)
(336, 237)
(334, 236)
(332, 236)
(330, 235)
(330, 235)
(327, 234)
(324, 233)
(321, 232)
(321, 232)
(318, 230)
(315, 229)
(312, 227)
(308, 226)
(308, 226)
(305, 225)
(302, 227)
(302, 227)
(299, 226)
(299, 226)
(297, 225)
(297, 225)
(294, 224)
(294, 224)
(292, 223)
(291, 222)
(291, 222)
(289, 221)
(289, 221)
(288, 221)
(288, 221)
(288, 221)
(289, 222)
(289, 222)
(290, 222)
(290, 222)
(291, 223)
(291, 223)
(293, 225)
(293, 225)
(296, 226)
(299, 227)
(299, 227)
(302, 230)
(302, 230)
(306, 232)
(306, 232)
(310, 234)
(310, 234)
(315, 236)
(315, 236)
(320, 238)
(324, 241)
(324, 241)
(329, 244)
(329, 244)
(334, 246)
(334, 246)
(338, 248)
(338, 248)
(341, 250)
(343, 251)
(343, 251)
(346, 253)
(346, 253)
(347, 253)
(347, 253)
(349, 254)
(349, 254)
(349, 254)
(350, 254)
(350, 254)
(349, 254)
(349, 254)
(349, 249)
(349, 249)
(349, 244)
(349, 244)
(348, 242)
(346, 241)
(346, 241)
(344, 240)
(344, 240)
(342, 239)
(342, 239)
(339, 237)
(336, 236)
(336, 236)
(333, 235)
(331, 233)
(331, 233)
(328, 233)
(325, 231)
(325, 231)
(321, 230)
(318, 228)
(318, 228)
(315, 227)
(312, 226)
(309, 225)
(309, 225)
(306, 224)
(304, 223)
(303, 222)
(303, 222)
(299, 223)
(299, 226)
(298, 226)
(298, 226)
(298, 226)
(298, 227)
(299, 228)
(299, 228)
(301, 231)
(304, 234)
(306, 235)
(306, 235)
(309, 236)
(311, 238)
(314, 240)
(317, 242)
(317, 242)
(321, 244)
(324, 245)
(327, 247)
(327, 247)
(331, 249)
(333, 250)
(336, 252)
(336, 252)
(338, 254)
(340, 255)
(340, 255)
(341, 257)
(343, 258)
(344, 256)
(344, 246)
(344, 246)
(345, 247)
(344, 246)
(344, 246)
(342, 245)
(342, 245)
(340, 244)
(340, 244)
(338, 243)
(338, 243)
(336, 242)
(336, 242)
(334, 241)
(332, 241)
(332, 241)
(330, 240)
(327, 239)
(327, 239)
(325, 237)
(321, 236)
(321, 236)
(319, 235)
(316, 234)
(316, 234)
(314, 232)
(312, 231)
(312, 231)
(310, 230)
(308, 229)
(308, 229)
(308, 228)
(308, 228)
(306, 228)
(306, 228)
(305, 228)
(305, 228)
(305, 228)
(305, 228)
(305, 228)
(306, 229)
(308, 234)
(308, 234)
(310, 235)
(312, 236)
(315, 238)
(315, 238)
(318, 239)
(321, 242)
(324, 243)
(324, 243)
(327, 245)
(329, 246)
(332, 248)
(332, 248)
(335, 249)
(338, 251)
(340, 252)
(340, 252)
(342, 254)
(344, 255)
(346, 256)
(346, 256)
(347, 256)
(348, 250)
(349, 248)
(349, 248)
(349, 247)
(349, 247)
(348, 246)
(347, 245)
(347, 245)
(345, 244)
(345, 244)
(343, 243)
(341, 242)
(341, 242)
(339, 241)
(339, 241)
(336, 240)
(336, 240)
(334, 239)
(331, 238)
(329, 237)
(329, 237)
(326, 235)
(324, 234)
(321, 233)
(321, 233)
(320, 233)
(318, 232)
(316, 231)
(316, 231)
(315, 230)
(314, 230)
(314, 230)
(314, 229)
(314, 229)
(314, 230)
(314, 230)
(315, 230)
(316, 231)
(318, 231)
(318, 231)
(320, 232)
(320, 235)
(322, 239)
(325, 240)
(325, 240)
(327, 241)
(330, 243)
(333, 246)
(333, 246)
(336, 248)
(338, 249)
(340, 251)
(340, 251)
(343, 253)
(343, 253)
(344, 255)
(344, 255)
(346, 255)
(348, 249)
(348, 248)
(348, 248)
(348, 248)
(348, 247)
(346, 246)
(346, 246)
(343, 245)
(339, 245)
(335, 244)
(335, 244)
(332, 244)
(330, 243)
(327, 242)
(327, 242)
(324, 240)
(320, 239)
(320, 239)
(316, 238)
(312, 237)
(312, 237)
(309, 236)
(305, 235)
(303, 234)
(303, 234)
(301, 233)
(299, 232)
(297, 231)
(297, 231)
(296, 231)
(296, 230)
(294, 230)
(294, 230)
(295, 231)
(296, 232)
(296, 232)
(297, 232)
(298, 233)
(299, 233)
(299, 233)
(301, 235)
(304, 236)
(305, 236)
(305, 236)
(307, 238)
(309, 240)
(312, 243)
(314, 245)
(314, 245)
(317, 247)
(319, 249)
(322, 250)
(322, 250)
(324, 252)
(326, 254)
(327, 255)
(327, 255)
(329, 255)
(329, 255)
(330, 255)
(330, 255)
(329, 254)
(329, 254)
(327, 253)
(327, 253)
(327, 253)
(325, 252)
(324, 243)
(324, 243)
(323, 239)
(320, 239)
(317, 237)
(317, 237)
(314, 236)
(311, 235)
(311, 235)
(309, 233)
(307, 232)
(305, 231)
(302, 230)
(302, 230)
(300, 230)
(298, 229)
(298, 229)
(296, 228)
(296, 228)
(295, 227)
(295, 227)
(294, 227)
(292, 227)
(292, 227)
(291, 228)
(291, 228)
(292, 229)
(292, 229)
(293, 230)
(294, 231)
(294, 231)
(296, 232)
(298, 235)
(301, 236)
(301, 236)
(304, 238)
(308, 246)
(311, 249)
(311, 249)
(314, 251)
(317, 253)
(320, 254)
(323, 254)
(326, 251)
(326, 251)
(329, 250)
(330, 251)
(331, 251)
(332, 252)
(332, 252)
(333, 252)
(332, 251)
(331, 251)
(331, 251)
(330, 250)
(329, 249)
(327, 243)
(327, 243)
(325, 240)
(322, 239)
(319, 237)
(319, 237)
(317, 236)
(314, 235)
(311, 234)
(311, 234)
(308, 233)
(305, 231)
(302, 230)
(302, 230)
(299, 229)
(297, 228)
(295, 227)
(292, 229)
(292, 229)
(292, 234)
(292, 234)
(292, 234)
(291, 234)
(291, 234)
(291, 234)
(292, 234)
(292, 234)
(293, 235)
(293, 235)
(294, 235)
(294, 235)
(296, 236)
(296, 236)
(299, 237)
(299, 237)
(302, 238)
(307, 239)
(307, 239)
(310, 240)
(310, 240)
(313, 241)
(313, 241)
(316, 243)
(316, 243)
(319, 244)
(322, 246)
(322, 246)
(326, 247)
(326, 247)
(329, 248)
(329, 248)
(332, 250)
(332, 250)
(335, 251)
(335, 251)
(336, 252)
(336, 252)
(337, 252)
(338, 252)
(338, 252)
(338, 252)
(338, 252)
(337, 252)
(337, 252)
(336, 251)
(336, 251)
(337, 248)
(337, 248)
(336, 242)
(336, 242)
(334, 241)
(332, 240)
(332, 240)
(330, 238)
(330, 238)
(327, 237)
(327, 237)
(325, 236)
(325, 236)
(323, 235)
(321, 234)
(321, 234)
